origen,destino,razon,sha256
datasets/dataset_irish/early_blight/earlyblt10191.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10191.jpg,duplicado,ef82ec8e5f15d75df3b56611276f0b8290fd56f5cf9435c3496633ff0e7db5c5
datasets/dataset_irish/early_blight/earlyblt10198.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10198.jpg,duplicado,98488962602d2106a0af4ec1075d37e06fa9de09ba04a22a8e54160d2b594e5c
datasets/dataset_irish/early_blight/earlyblt1021.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1021.jpg,duplicado,013e6a82c8196f75d9387742d0383b5234b72b173bb155a1e2b34afde280e997
datasets/dataset_irish/early_blight/earlyblt10215.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10215.jpg,duplicado,eb596c8cc166245d52279c46c11158613f6a89b596715f21b2696b17d7df3e3e
datasets/dataset_irish/early_blight/earlyblt1023.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1023.jpg,duplicado,b5fadbb5df3ba30a1e19dc7bdd009ed4de84c0b5f81be1ded06d7ebe4308f877
datasets/dataset_irish/early_blight/earlyblt1024.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1024.jpg,duplicado,ef66d26c0efe421459dbcfbaba15426879b8313a419b803ed63237ab142241df
datasets/dataset_irish/early_blight/earlyblt10248.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10248.jpg,duplicado,f6fcb9618620d3474d2eb225b2f2bbf3120711d510d0841b9551251527dc10c3
datasets/dataset_irish/early_blight/earlyblt10249.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10249.jpg,duplicado,a05bbd91978cb760a924477765eb98d176083a3e3ec1b58143885adb952fc01b
datasets/dataset_irish/early_blight/earlyblt1025.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt1025.jpg,duplicado,c1037ad9959ee22c2f4a310549951100a5e65545691181577bb006fffdb4609f
datasets/dataset_irish/early_blight/earlyblt10250.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10250.jpg,duplicado,18f5a1d91cdf2e1bec9e951d887cca2d9b39040a482e2f3a748041a5ab62400a
datasets/dataset_irish/early_blight/earlyblt10252.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10252.jpg,duplicado,18f5a1d91cdf2e1bec9e951d887cca2d9b39040a482e2f3a748041a5ab62400a
datasets/dataset_irish/early_blight/earlyblt10253.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10253.jpg,duplicado,9ac8e2603f94a5c2e23d0185c4b26028c0e9c1390b0d853cbc81859ca4933bf5
datasets/dataset_irish/early_blight/earlyblt10254.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10254.jpg,duplicado,7f0c5acbd8f87081e0cb9a189e4b3cf2fc2402ce72fc35f3688d811d295adf82
datasets/dataset_irish/early_blight/earlyblt10256.jpg,datasets/dataset_fallido/dataset_irish/early_blight/earlyblt10256.jpg,duplicado,9da376a49a5bded7d659358738ea240153b087a756c18fbaa0ec6eadc7eedade
